"","año","mes","ccaa","nivel","volumen"
"280","2014","Enero","Cantabria","5",1485.15
"281","2014","Enero","Castilla y León","1",26652.9
"282","2014","Enero","Castilla y León","2",38484.05
"283","2014","Enero","Castilla y León","3",63201
"284","2014","Enero","Castilla y León","4",14329.03
"285","2014","Enero","Castilla y León","5",7201.1
"286","2014","Enero","Castilla-La Mancha","1",22702.97
"287","2014","Enero","Castilla-La Mancha","2",26581.03
"288","2014","Enero","Castilla-La Mancha","3",47030.55
"289","2014","Enero","Castilla-La Mancha","4",11295.59
"290","2014","Enero","Castilla-La Mancha","5",7704.44
"291","2014","Enero","Cataluña","1",86512.49
"292","2014","Enero","Cataluña","2",109657.23
"293","2014","Enero","Cataluña","3",132109.71
"294","2014","Enero","Cataluña","4",34416.46
"295","2014","Enero","Cataluña","5",26536.57
"296","2014","Enero","Extremadura","1",10084.36
"297","2014","Enero","Extremadura","2",13061.33
"298","2014","Enero","Extremadura","3",20515.21
"299","2014","Enero","Extremadura","4",4534.46
"300","2014","Enero","Extremadura","5",4308.66
"301","2014","Enero","Galicia","1",29109.52
"302","2014","Enero","Galicia","2",39107.53
"303","2014","Enero","Galicia","3",58274.12
"304","2014","Enero","Galicia","4",14816.28
"305","2014","Enero","Galicia","5",7188.44
"306","2014","Enero","Islas Baleares","1",16148.82
"307","2014","Enero","Islas Baleares","2",14324.61
"308","2014","Enero","Islas Baleares","3",19304.52
"309","2014","Enero","Islas Baleares","4",4393.53
"310","2014","Enero","Islas Baleares","5",3385.44
"311","2014","Enero","La Rioja","1",3362.61
"312","2014","Enero","La Rioja","2",4775.54
"313","2014","Enero","La Rioja","3",7017.39
"314","2014","Enero","La Rioja","4",1576.09
"315","2014","Enero","La Rioja","5",1274.78
"316","2014","Enero","Madrid, Comunidad de","1",45164.36
"317","2014","Enero","Madrid, Comunidad de","2",95870.38
"318","2014","Enero","Madrid, Comunidad de","3",126643.3
"319","2014","Enero","Madrid, Comunidad de","4",28756.42
"320","2014","Enero","Madrid, Comunidad de","5",24165.69
"321","2014","Enero","Murcia, Región de","1",15973.32
"322","2014","Enero","Murcia, Región de","2",16781.2
"323","2014","Enero","Murcia, Región de","3",23854.03
"324","2014","Enero","Murcia, Región de","4",5681.92
"325","2014","Enero","Murcia, Región de","5",6350.99
"326","2014","Enero","Navarra, Comunidad Foral de","1",5448.58
"327","2014","Enero","Navarra, Comunidad Foral de","2",9291.05
"328","2014","Enero","Navarra, Comunidad Foral de","3",15746.75
"329","2014","Enero","Navarra, Comunidad Foral de","4",2753.27
"330","2014","Enero","Navarra, Comunidad Foral de","5",1854.1
"331","2014","Enero","País Vasco","1",18475.97
"332","2014","Enero","País Vasco","2",36560.17
"333","2014","Enero","País Vasco","3",51261.41
"334","2014","Enero","País Vasco","4",9308.63
"335","2014","Enero","País Vasco","5",6253.34
"336","2014","Enero","Valenciana, Comunidad","1",59836.21
"337","2014","Enero","Valenciana, Comunidad","2",70010.13
"338","2014","Enero","Valenciana, Comunidad","3",95835.81
"339","2014","Enero","Valenciana, Comunidad","4",23008.22
"340","2014","Enero","Valenciana, Comunidad","5",17901.41
"341","2014","Febrero","Andalucía","1",78260.05
"342","2014","Febrero","Andalucía","2",98345.07
"343","2014","Febrero","Andalucía","3",139647
"344","2014","Febrero","Andalucía","4",30101.83
"345","2014","Febrero","Andalucía","5",27761.5
"346","2014","Febrero","Aragón","1",12137.29
"347","2014","Febrero","Aragón","2",20228.51
"348","2014","Febrero","Aragón","3",26535.68
"349","2014","Febrero","Aragón","4",6035.37
"350","2014","Febrero","Aragón","5",3906.96
"351","2014","Febrero","Asturias, Principado de","1",11498.8
"352","2014","Febrero","Asturias, Principado de","2",15324.16
"353","2014","Febrero","Asturias, Principado de","3",22340.46
"354","2014","Febrero","Asturias, Principado de","4",4432.91
"355","2014","Febrero","Asturias, Principado de","5",2867.77
"356","2014","Febrero","Canarias","1",28326.33
"357","2014","Febrero","Canarias","2",23135.38
"358","2014","Febrero","Canarias","3",32035.97
"359","2014","Febrero","Canarias","4",7548.51
"360","2014","Febrero","Canarias","5",7733.55
"361","2014","Febrero","Cantabria","1",5892.03
"362","2014","Febrero","Cantabria","2",8978.91
"363","2014","Febrero","Cantabria","3",13029.94
"364","2014","Febrero","Cantabria","4",2496.25
"365","2014","Febrero","Cantabria","5",1544.9
"366","2014","Febrero","Castilla y León","1",24167.54
"367","2014","Febrero","Castilla y León","2",37363.45
"368","2014","Febrero","Castilla y León","3",56615.2
"369","2014","Febrero","Castilla y León","4",12729.08
"370","2014","Febrero","Castilla y León","5",6771.53
"371","2014","Febrero","Castilla-La Mancha","1",19496.81
"372","2014","Febrero","Castilla-La Mancha","2",26470.46
"373","2014","Febrero","Castilla-La Mancha","3",40587.32
"374","2014","Febrero","Castilla-La Mancha","4",9289.74
"375","2014","Febrero","Castilla-La Mancha","5",6889.53
"376","2014","Febrero","Cataluña","1",79301.81
